title,rating,year
Young Frankenstein,8,1974
The Texas Chain Saw Massacre,7.4,1974
Blazing Saddles,7.7,1974
Céline et Julie vont en bateau: Phantom Ladies Over Paris,7.3,1974
Angst essen Seele auf,8,1974
Barry Lyndon,8.1,1975
The Rocky Horror Picture Show,7.4,1975
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",7.6,1975
O thiasos,7.9,1975
Monty Python and the Holy Grail,8.2,1975
Deewaar,8,1975
Dog Day Afternoon,8,1975
One Flew Over the Cuckoo's Nest,8.7,1975
Maynila sa mga kuko ng liwanag,7.8,1975
Faustrecht der Freiheit,7.6,1975
Nashville,7.6,1975
Salò o le 120 giornate di Sodoma,5.8,1975
Cría cuervos,7.9,1976
Picnic at Hanging Rock,7.4,1975
India Song,6.2,1975
Jaws,8.1,1975
The Man Who Fell to Earth,6.6,1976
All the President's Men,7.9,1976
The Outlaw Josey Wales,7.8,1976
The Killing of a Chinese Bookie,7.3,1976
Network,8.1,1976
Carrie,7.4,1976
Taxi Driver,8.2,1976
Rocky,8.1,1976
Ai no korîda,6.6,1976
Novecento,7.7,1976
Voskhozhdenie,8.2,1977
Close Encounters of the Third Kind,7.6,1977
The Last Wave,7,1977
Star Wars,8.6,1977
Stroszek,7.7,1977
Ceddo,6.7,1977
Der amerikanische Freund,7.4,1977
Annie Hall,8,1977
Suspiria,7.3,1977
Sleeping Dogs,6.3,1977
Last Chants for a Slow Dance,6.1,1977
Czlowiek z marmuru,7.7,1977
Saturday Night Fever,6.8,1977
Killer of Sheep,7.2,1978
Eraserhead,7.3,1977
Soldaat van Oranje,7.6,1977
The Hills Have Eyes,6.3,1977
Days of Heaven,7.8,1978
Halloween,7.7,1978
L'albero degli zoccoli,7.8,1978
The Chant of Jimmie Blacksmith,7.3,1978
The Deer Hunter,8.1,1978
Dawn of the Dead,7.8,1978
Up in Smoke,6.9,1978
Grease,7.2,1978
Shao Lin san shi liu fang,7.6,1978
Wu du,7,1978
My Brilliant Career,7.1,1979
Die Ehe der Maria Braun,7.7,1979
Nosferatu: Phantom der Nacht,7.4,1979
Stalker,8.1,1979
Life of Brian,8,1979
Real Life,7,1979
Breaking Away,7.7,1979
Alien,8.5,1979
Being There,8,1979
Manhattan,7.8,1979
Apocalypse Now,8.5,1979
All That Jazz,7.8,1979
The Muppet Movie,7.6,1979
Cristo si è fermato a Eboli,7.7,1979
Mad Max,6.8,1979
Die Blechtrommel,7.5,1979
The Jerk,7.1,1979
Kramer vs. Kramer,7.8,1979
Ordinary People,7.7,1980
The Empire Strikes Back,8.7,1980
Atlantic City,7.3,1980
Le dernier métro,7.4,1980
The Shining,8.4,1980
The Elephant Man,8.2,1980
The Big Red One,7.1,1980
Loulou,6.7,1980
Raging Bull,8.2,1980
Airplane!,7.7,1980
An American Werewolf in London,7.5,1981
Diva,7.2,1981
Raiders of the Lost Ark,8.4,1981
Das Boot,8.4,1981
Gallipoli,7.4,1981
Chariots of Fire,7.1,1981
Body Heat,7.4,1981
Czlowiek z zelaza,7.3,1981
Reds,7.3,1981
Tre fratelli,7.1,1981
E.T. the Extra-Terrestrial,7.9,1982
The Evil Dead,7.4,1981
Fast Times at Ridgemont High,7.1,1982
Trop tôt/Trop tard,5.6,1981
Poltergeist,7.3,1982
Yol,8,1982
Blade Runner,8.1,1982
Diner,7.1,1982
Tootsie,7.4,1982
Fitzcarraldo,8,1982
Gandhi,8,1982
The Thing,8.2,1982
Fanny och Alexander,8.1,1982
La notte di San Lorenzo,7.3,1982
De stilte rond Christine M.,6.6,1982
The Draughtsman's Contract,7.2,1982
A Christmas Story,7.9,1983
L'argent,7.4,1983
The Right Stuff,7.8,1983
The Big Chill,7.1,1983
Sans soleil,7.8,1983
Star Wars: Episode VI - Return of the Jedi,8.3,1983
Narayama bushikô,7.8,1983
Terms of Endearment,7.4,1983
El Norte,7.7,1983
De vierde man,7.2,1983
Videodrome,7.2,1983
Koyaanisqatsi,8.2,1982
Scarface,8.3,1983
The King of Comedy,7.8,1982
Local Hero,7.3,1983
Once Upon a Time in America,8.3,1984
Le dernier combat,6.7,1983
The Terminator,8.1,1984
The Natural,7.4,1984
Ghostbusters,7.8,1984
"Paris, Texas",8.1,1984
A Nightmare on Elm Street,7.4,1984
This Is Spinal Tap,7.9,1984
A Passage to India,7.3,1984
Beverly Hills Cop,7.3,1984
The Killing Fields,7.8,1984
Stranger Than Paradise,7.4,1984
Amadeus,8.4,1984
Utu,6.9,1983
Prizzi's Honor,6.7,1985
Tóngnián wangshì,7.6,1985
The Breakfast Club,7.8,1985
Idi i smotri,8.4,1985
Mishima: A Life in Four Chapters,7.9,1985
Out of Africa,7.1,1985
Ran,8.2,1985
Back to the Future,8.5,1985
Brazil,7.9,1985
Kiss of the Spider Woman,7.3,1985
The Quiet Earth,6.7,1985
The Purple Rose of Cairo,7.7,1985
Sans toit ni loi,7.7,1985
Shoah,8.7,1985
The Color Purple,7.7,1985
A Room with a View,7.2,1985
La historia oficial,7.7,1985
Manhunter,7.2,1986
Blue Velvet,7.7,1986
Hannah and Her Sisters,7.8,1986
She's Gotta Have It,6.8,1986
Children of a Lesser God,7.2,1986
Caravaggio,6.5,1986
Salvador,7.4,1986
Platoon,8.1,1986
Down by Law,7.7,1986
Le déclin de l'empire américain,7.1,1986
Do ma daan,7.3,1986
Aliens,8.4,1986
Ferris Bueller's Day Off,7.8,1986
The Fly,7.6,1986
Top Gun,6.9,1986
Sherman's March,7.2,1985
Stand by Me,8.1,1986
Tampopo,7.9,1985
Dao ma zei,6.9,1986
Au revoir les enfants,8,1987
Raising Arizona,7.3,1987
Yeelen,7,1987
'A' gai wak 2,7,1987
Der Himmel über Berlin,8,1987
Withnail & I,7.6,1987
The Princess Bride,8,1987
Sien lui yau wan,7.4,1987
Full Metal Jacket,8.3,1987
Broadcast News,7.2,1987
Babettes gæstebud,7.8,1987
"Good Morning, Vietnam",7.3,1987
Moonstruck,7.1,1987
Wall Street,7.3,1987
The Untouchables,7.8,1987
Hong gao liang,7.3,1988
Fatal Attraction,6.9,1987
The Dead,7.2,1987
Housekeeping,7.2,1987
Bull Durham,7,1988
Hôtel Terminus,7.6,1988
"Mujeres al borde de un ataque de ""nervios""",7.5,1988
Spoorloos,7.7,1988
Neco z Alenky,7.4,1988
Ariel,7.5,1988
The Thin Blue Line,8,1988
Akira,8,1988
A Fish Called Wanda,7.5,1988
Une histoire de vent,6.9,1988
The Naked Gun: From the Files of Police Squad!,7.6,1988
Nuovo Cinema Paradiso,8.5,1988
Hotaru no haka,8.5,1988
Big,7.3,1988
Who Framed Roger Rabbit,7.7,1988
Dekalog (198,9,1990
Rain Man,8,1988
Die Hard,8.2,1988
Dangerous Liaisons,7.6,1988
Dead Ringers,7.2,1988
RoboCop,7.6,1987
"Distant Voices, Still Lives",7.4,1988
Topio stin omihli,8,1988
Une affaire de femmes,7.5,1988
The Accidental Tourist,6.7,1988
Drowning by Numbers,7.2,1988
When Harry Met Sally...,7.7,1989
Crimes and Misdemeanors,7.8,1989
Batman,7.5,1989
Field of Dreams,7.5,1989
Glory,7.8,1989
"The Cook, the Thief, His Wife & Her Lover",7.5,1989
My Left Foot: The Story of Christy Brown,7.8,1989
Dip huet seung hung,7.8,1989
Drugstore Cowboy,7.3,1989
Astenicheskiy sindrom,6.6,1989
Do the Right Thing,8,1989
The Unbelievable Truth,7.2,1989
Roger & Me,7.5,1989
"Sex, Lies, and Videotape",7.2,1989
Bei qing cheng shi,7.8,1989
Say Anything...,7.3,1989
Trust,7.4,1990
S'en fout la mort,6.7,1990
GoodFellas,8.7,1990
Nema-ye Nazdik,8.2,1990
King of New York,6.9,1990
Pretty Woman,7.1,1990
Dances with Wolves,8,1990
Henry: Portrait of a Serial Killer,7,1986
Archangel,6.4,1990
Total Recall,7.5,1990
Edward Scissorhands,7.9,1990
Europa Europa,7.6,1990
Reversal of Fortune,7.2,1990
Jacob's Ladder (I),7.4,1990
Boyz n the Hood,7.8,1991
La Belle Noiseuse,7.5,1991
The Rapture,6.3,1991
Guling jie shaonian sharen shijian,8.3,1991
JFK,8,1991
Slacker,7,1990
Wong Fei Hung,7.2,1991
Thelma & Louise,7.5,1991
My Own Private Idaho,7,1991
The Silence of the Lambs,8.6,1991
Terminator 2: Judgment Day,8.6,1991
Delicatessen,7.6,1991
La double vie de Véronique,7.7,1991
Tongues Untied,7.1,1989
Da hong denglong gaogao gua,8.1,1991
Hearts of Darkness: A Filmmaker's Apocalypse,8.1,1991
Naked Lunch,6.9,1991
Romper Stomper,6.8,1992
Strictly Ballroom,7.2,1992
The Player,7.5,1992
Reservoir Dogs,8.3,1992
